DATE,1. open,2. high,3. low,4. close,close,returns,volatility
2006-08-18,1.28270,1.28450,1.27790,1.28230,1.2823,,
2006-08-21,1.28730,1.29380,1.28290,1.28860,1.2886,0.004913046868907367,
2006-08-22,1.28880,1.28880,1.27840,1.28050,1.2805,-0.0062858916653733,
2006-08-23,1.28040,1.28500,1.27770,1.27860,1.2786,-0.0014837953924248248,
2006-08-24,1.27870,1.28400,1.27510,1.27630,1.2763,-0.0017988424839667783,
2006-08-25,1.27650,1.27820,1.27250,1.27510,1.2751,-0.0009402178171277198,
2006-08-28,1.27590,1.28200,1.27540,1.27840,1.2784,0.002588032311191313,
2006-08-29,1.27830,1.28380,1.27510,1.28290,1.2829,0.003520025031289009,0.0038519030417539396
2006-08-30,1.28300,1.28520,1.28110,1.28370,1.2837,0.0006235871852835473,0.0032473887665522166
2006-08-31,1.28340,1.28790,1.27850,1.28060,1.2806,-0.0024148944457428323,0.0022959855098216397
2006-09-01,1.28050,1.28460,1.27560,1.28350,1.2835,0.0022645634858660113,0.0023255167191791235
2006-09-04,1.28400,1.28740,1.28390,1.28600,1.286,0.0019477989871445889,0.0021169124505492883
2006-09-05,1.28600,1.28650,1.27960,1.28170,1.2817,-0.003343701399688981,0.0026321840949951217
2006-09-06,1.28180,1.28320,1.27700,1.28040,1.2804,-0.0010142779121480316,0.0025620431299195395
2006-09-07,1.28040,1.28300,1.27060,1.27330,1.2733,-0.005545142143080217,0.002889726463616418
2006-09-08,1.27340,1.27420,1.26500,1.26770,1.2677,-0.0043980208905992635,0.003019923251483998
2006-09-11,1.26670,1.27390,1.26510,1.27010,1.2701,0.0018931923956770902,0.003296747256554283
2006-09-12,1.27000,1.27320,1.26730,1.26820,1.2682,-0.0014959452011652496,0.0029295921719486987
2006-09-13,1.26830,1.27170,1.26670,1.26990,1.2699,0.0013404825737266535,0.002809826043976556
2006-09-14,1.26980,1.27500,1.26760,1.27240,1.2724,0.001968658949523583,0.0030304945020367575
2006-09-15,1.27230,1.27350,1.26320,1.26610,1.2661,-0.004951273184533145,0.0033719199269011376
2006-09-18,1.26430,1.27100,1.26420,1.27020,1.2702,0.003238290814311595,0.003291725432531971
2006-09-19,1.27020,1.27260,1.26500,1.26710,1.2671,-0.0024405605416470966,0.0029558965517046247
2006-09-20,1.26710,1.27270,1.26630,1.26870,1.2687,0.0012627259095572274,0.002895309841533161
2006-09-21,1.26880,1.27980,1.26810,1.27810,1.2781,0.007409158981634745,0.003965850245219282
2006-09-22,1.27800,1.28300,1.27760,1.27830,1.2783,0.00015648227838194195,0.003980013891171183
2006-09-25,1.27890,1.28190,1.27310,1.27460,1.2746,-0.002894469216928708,0.004191215266072336
2006-09-26,1.27460,1.27600,1.26620,1.26830,1.2683,-0.004942727130080038,0.004189447063640687
2006-09-27,1.26820,1.27180,1.26740,1.27010,1.2701,0.0014192225814082526,0.004026857796024642
2006-09-28,1.27000,1.27320,1.26780,1.26950,1.2695,-0.00047240374773638294,0.00389495225457476
2006-09-29,1.26950,1.27130,1.26390,1.26740,1.2674,-0.0016541945647893241,0.00392779505471409
2006-10-02,1.26800,1.27580,1.26610,1.27390,1.2739,0.005128609752248714,0.0032298503992106383
2006-10-03,1.27370,1.27650,1.27190,1.27270,1.2727,-0.0009419891671246239,0.0032212600256923906
2006-10-04,1.27280,1.27380,1.26670,1.27150,1.2715,-0.0009428773473716401,0.003072893442282978
2006-10-05,1.27150,1.27250,1.26720,1.26880,1.2688,-0.0021234762092018356,0.002501250154253582
2006-10-06,1.26900,1.27040,1.25730,1.25990,1.2599,-0.0070145018915509505,0.0035487174771997223
2006-10-09,1.25890,1.26130,1.25850,1.25930,1.2593,-0.00047622827208504415,0.0035485968081245753
2006-10-10,1.25940,1.26130,1.25180,1.25350,1.2535,-0.004605733343921226,0.0037863785712825633
2006-10-11,1.25330,1.25560,1.25020,1.25210,1.2521,-0.001116872756282472,0.0024428898875290986
2006-10-12,1.25230,1.25640,1.25160,1.25610,1.2561,0.0031946330165322223,0.003241250983263341
2006-10-13,1.25600,1.25770,1.24830,1.25120,1.2512,-0.0039009632991002796,0.0032927607977788335
2006-10-16,1.25020,1.25370,1.24890,1.25320,1.2532,0.0015984654731457937,0.003609733905217451
2006-10-17,1.25330,1.25660,1.25090,1.25370,1.2537,0.0003989786147462482,0.0028102085041925755
2006-10-18,1.25370,1.25580,1.25010,1.25310,1.2531,-0.0004785833931562067,0.0028101772352858625
2006-10-19,1.25310,1.26400,1.25300,1.26230,1.2623,0.007341792354959686,0.003569330749526175
2006-10-20,1.26240,1.26390,1.25970,1.26150,1.2615,-0.0006337637645567051,0.003525862883959577
2006-10-23,1.26150,1.26210,1.25340,1.25500,1.255,-0.005152596115735375,0.004060296059376608
2006-10-24,1.25480,1.25760,1.25250,1.25530,1.2553,0.0002390438247013016,0.0037032635036783057
2006-10-25,1.25540,1.26220,1.25500,1.26060,1.2606,0.0042220983031944215,0.0039599858438207815
2006-10-26,1.26060,1.27010,1.26050,1.26880,1.2688,0.0065048389655719685,0.004482549671457381
2006-10-27,1.26880,1.27490,1.26630,1.27400,1.274,0.004098360655737876,0.004441959174064672
2006-10-30,1.27300,1.27350,1.26990,1.27240,1.2724,-0.0012558869701727593,0.004006816522675127
2006-10-31,1.27240,1.27820,1.26790,1.27620,1.2762,0.0029864822382899003,0.003972297360938453
2006-11-01,1.27610,1.27980,1.27420,1.27560,1.2756,-0.0004701457451810054,0.00287630702884091
2006-11-02,1.27540,1.27830,1.27360,1.27790,1.2779,0.0018030730636562353,0.002744337866515217
2006-11-03,1.27790,1.27850,1.26820,1.27180,1.2718,-0.0047734564519915645,0.003754224680810521
2006-11-06,1.27170,1.27250,1.26890,1.27230,1.2723,0.00039314357603381644,0.0029608597106323712
2006-11-07,1.27230,1.28190,1.27210,1.27730,1.2773,0.003929890749037268,0.002926244943970556
2006-11-08,1.27740,1.28070,1.27450,1.27570,1.2757,-0.0012526422923354597,0.0029259441063950366
2006-11-09,1.27560,1.28480,1.27500,1.28290,1.2829,0.00564396017872526,0.003447382646831765
2006-11-10,1.28270,1.28980,1.28260,1.28400,1.284,0.0008574323797647665,0.0034051101780631352
2006-11-13,1.28460,1.28770,1.27950,1.28050,1.2805,-0.002725856697819329,0.003636843475213916
2006-11-14,1.28050,1.28700,1.27910,1.28100,1.281,0.0003904724716907726,0.002882683120399724
2006-11-15,1.28100,1.28340,1.27740,1.28270,1.2827,0.001327088212334182,0.002869674630704047
2006-11-16,1.28280,1.28390,1.27840,1.27950,1.2795,-0.002494737662742552,0.002866207459314344
2006-11-17,1.27950,1.28450,1.27620,1.28260,1.2826,0.0024228214146149174,0.002881802863528725
2006-11-20,1.28290,1.28510,1.28050,1.28160,1.2816,-0.000779666302822335,0.0019423876692736014
2006-11-21,1.28150,1.28540,1.27970,1.28420,1.2842,0.0020287141073658255,0.0020879493325564207
2006-11-22,1.28420,1.29560,1.28380,1.29420,1.2942,0.007786949073353089,0.0032421163490222796
2006-11-23,1.29410,1.29750,1.29260,1.29470,1.2947,0.0003863390511511522,0.0032423579889238573
2006-11-24,1.29440,1.31070,1.29420,1.30940,1.3094,0.011353981617363118,0.0049206568318551835
2006-11-27,1.31290,1.31660,1.30870,1.31320,1.3132,0.002902092561478664,0.004308704358136003
2006-11-28,1.31330,1.32080,1.31170,1.31990,1.3199,0.005102040816326703,0.004292330996492848
2006-11-29,1.31980,1.32170,1.31330,1.31530,1.3153,-0.003485112508523458,0.004886784457446824
2006-11-30,1.31530,1.32740,1.31420,1.32410,1.3241,0.006690488861856636,0.004934506292368079
2006-12-01,1.32410,1.33480,1.32180,1.33370,1.3337,0.007250207688241028,0.004876773572614253
2006-12-04,1.33330,1.33670,1.32820,1.33390,1.3339,0.00014995876134071828,0.0049092157756568805
