,Bitcoin Lag 1 Correlations
CLF,-0.23458646616541348
CPIAUCSL,-0.4796992481203006
WM2NS,-0.12180451127819547
DGS10,-0.15037593984962402
PCEPI,-0.49624060150375937
EFFR,-0.027170004771103574
PPIACO,-0.18496240601503755
FX_EURUSD_daily_volatility,0.28421052631578947
UNRATE,0.19999999999999998
CRBL.L,-0.26315789473684204
VIX,0.11278195488721804
WALCL,-0.27669172932330827
HOUST,0.17142857142857143
INDPRO,0.28120300751879695
RSXFS,-0.02706766917293233
GCF,0.24661654135338343
HOUST_deseas,0.44360902255639095
INDPRO_deseas,0.4090225563909774
RSXFS_deseas,0.3984962406015037
GCF_deseas,0.544360902255639
CLF_deseas,-0.13984962406015036
UNRATE_deseas,0.24962406015037594
CRBL.L_deseas,-0.2571428571428572
PPIACO_deseas,-0.16691729323308271
