DATE,1. open,2. high,3. low,4. close,close_FX_EURUSD_daily_volatility,returns,volatility
2020-08-03,1.17944,1.17968,1.16940,1.17580,1.1758,-0.0011044091411095414,0.005734601341599549
2020-08-04,1.17604,1.18062,1.17200,1.17979,1.17979,0.003393434257526806,0.005646703303759275
2020-08-05,1.17980,1.19049,1.17920,1.18720,1.1872,0.006280778782664864,0.005089214044084917
2020-08-06,1.18726,1.19162,1.18170,1.18810,1.1881,0.0007580862533691501,0.0046170195913073035
2020-08-07,1.18813,1.18820,1.17540,1.17870,1.1787,-0.007911791936705548,0.005502727451050719
2020-08-10,1.17760,1.18007,1.17340,1.17400,1.174,-0.003987443794010503,0.005190548990000845
2020-08-11,1.17416,1.18080,1.17200,1.17420,1.1742,0.00017035775127771657,0.004662968283358473
2020-08-12,1.17435,1.18170,1.17090,1.17873,1.17873,0.0038579458354626173,0.004899149103444106
2020-08-13,1.17868,1.18642,1.17840,1.18170,1.1817,0.0025196609910664858,0.004819641110170408
2020-08-14,1.18166,1.18504,1.17800,1.18408,1.18408,0.002014047558602128,0.004152076244675614
2020-08-17,1.18416,1.18810,1.18270,1.18726,1.18726,0.0026856293493682237,0.004300503032462069
2020-08-18,1.18722,1.19656,1.18690,1.19393,1.19393,0.00561797752808979,0.0030632049160136286
2020-08-19,1.19396,1.19527,1.18290,1.18510,1.1851,-0.007395743469047478,0.004202735705750811
2020-08-20,1.18514,1.18687,1.18010,1.18650,1.1865,0.0011813349084466296,0.004172590418466082
2020-08-21,1.18655,1.18829,1.17530,1.17958,1.17958,-0.0058322798145806765,0.0048166052760970045
2020-08-24,1.18010,1.18496,1.17820,1.17936,1.17936,-0.00018650706183565013,0.004698392013761015
2020-08-25,1.17939,1.18439,1.17820,1.18327,1.18327,0.0033153574820241616,0.004827953689553145
2020-08-26,1.18334,1.18393,1.17710,1.18350,1.1835,0.00019437660043775118,0.004678963147353247
2020-08-27,1.18361,1.19019,1.17610,1.18170,1.1817,-0.001520912547528508,0.0038404197286998954
2020-08-28,1.18186,1.19197,1.18090,1.19008,1.19008,0.00709147837860713,0.004010522890695202
2020-08-31,1.19084,1.19661,1.18830,1.19370,1.1937,0.003041812315138337,0.004115276448161055
2020-09-01,1.19371,1.20114,1.19000,1.19170,1.1917,-0.001675462846611353,0.003180344716300298
2020-09-02,1.19179,1.19290,1.18210,1.18526,1.18526,-0.005404044642107864,0.004108174020127658
2020-09-03,1.18536,1.18646,1.17870,1.18450,1.1845,-0.0006412095236487669,0.0039611903101808765
2020-09-04,1.18464,1.18654,1.17790,1.18389,1.18389,-0.0005149852258337084,0.0039690852674934135
2020-09-07,1.18406,1.18487,1.18100,1.18157,1.18157,-0.0019596415207494555,0.004001428208395703
2020-09-08,1.18150,1.18276,1.17559,1.17667,1.17667,-0.004147024721345205,0.00273052621715976
2020-09-09,1.17668,1.18342,1.17510,1.18078,1.18078,0.003492907952101998,0.002860938683150704
2020-09-10,1.18079,1.19175,1.17990,1.18196,1.18196,0.000999339419705647,0.0030158116138098885
